Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,5,3,4,4,106,2,126,"0,00%","155,1","73,9","13,86"
Total,1000,5,3,4,4,106,2,126,"0,00%","155,1","73,9","13,86"
