Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,101997,1043,858,2147,2463,3111,7,5888,"0,00%","769,9","366,8","771,01"
Total,101997,1043,858,2147,2463,3111,7,5888,"0,00%","769,9","366,8","771,01"
