Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,2,1,2,2,77,1,116,"0,00%","413,0","156,1","9,94"
Total,3000,2,1,2,2,77,1,116,"0,00%","413,0","156,1","9,94"
