Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,4,2,3,3,98,2,114,"0,00%","155,4","58,7","12,32"
Total,1000,4,2,3,3,98,2,114,"0,00%","155,4","58,7","12,32"
