Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,6,5,6,6,62,4,137,"0,00%","266,6","88,7","11,23"
Total,3000,6,5,6,6,62,4,137,"0,00%","266,6","88,7","11,23"
