Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,3,2,2,3,71,1,127,"0,00%","183,1","60,6","10,94"
Total,2000,3,2,2,3,71,1,127,"0,00%","183,1","60,6","10,94"
