Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,2,1,2,2,82,1,136,"0,00%","332,6","125,7","11,29"
Total,3000,2,1,2,2,82,1,136,"0,00%","332,6","125,7","11,29"
