timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1549844888320,584,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549844888320,34991,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549844889320,3241,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549844889320,34992,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549844890321,2644,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549844890321,34993,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549844891321,3011,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549844891321,34994,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549844892321,3132,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549844892321,34995,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549844893322,3262,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549844893322,34997,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549844894322,3745,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549844894322,34998,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549844895322,3508,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549844895322,34999,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549844896322,3132,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549844896323,35001,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549844897323,3768,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549844897323,35001,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549844898323,3282,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549844898323,35001,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
