Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,3,2,2,3,122,1,136,"0,00%","118,7","43,9","15,83"
Total,1000,3,2,2,3,122,1,136,"0,00%","118,7","43,9","15,83"
