Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,1,1,1,1,32,0,114,"0,00%","336,4","137,6","8,32"
Total,3000,1,1,1,1,32,0,114,"0,00%","336,4","137,6","8,32"
