Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,3,2,3,3,50,1,106,"0,00%","328,9","121,7","8,99"
Total,3000,3,2,3,3,50,1,106,"0,00%","328,9","121,7","8,99"
