Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,2,2,3,3,32,1,84,"0,00%","118,2","43,8","6,84"
Total,1000,2,2,3,3,32,1,84,"0,00%","118,2","43,8","6,84"
