Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,2,1,2,2,89,1,105,"0,00%","96,6","37,4","10,87"
Total,1000,2,1,2,2,89,1,105,"0,00%","96,6","37,4","10,87"
