Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,3,2,3,3,49,1,111,"0,00%","274,6","122,3","8,20"
Total,3000,3,2,3,3,49,1,111,"0,00%","274,6","122,3","8,20"
