Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,3148,3189,5361,5920,6528,138,7497,"0,00%","185,9","76,4","1722,27"
Total,3000,3148,3189,5361,5920,6528,138,7497,"0,00%","185,9","76,4","1722,27"
