Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,3,2,3,3,91,1,104,"0,00%","153,5","56,8","11,55"
Total,1000,3,2,3,3,91,1,104,"0,00%","153,5","56,8","11,55"
