Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,3,1,2,3,117,1,152,"0,00%","290,2","107,4","15,93"
Total,2000,3,1,2,3,117,1,152,"0,00%","290,2","107,4","15,93"
