Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,4,2,2,3,135,1,152,"0,00%","295,4","151,1","17,67"
Total,2000,4,2,2,3,135,1,152,"0,00%","295,4","151,1","17,67"
