Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,2,1,2,2,92,1,113,"0,00%","229,6","89,0","11,64"
Total,2000,2,1,2,2,92,1,113,"0,00%","229,6","89,0","11,64"
