Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,2,1,2,2,72,1,103,"0,00%","119,3","46,3","9,36"
Total,1000,2,1,2,2,72,1,103,"0,00%","119,3","46,3","9,36"
