Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,6,5,6,7,109,4,174,"0,00%","324,5","108,0","14,90"
Total,3000,6,5,6,7,109,4,174,"0,00%","324,5","108,0","14,90"
