Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,5,4,5,7,58,2,114,"0,00%","230,2","87,5","10,17"
Total,2000,5,4,5,7,58,2,114,"0,00%","230,2","87,5","10,17"
