Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,1209,1255,2573,2884,3582,35,4828,"0,00%","192,8","79,3","1006,27"
Total,2000,1209,1255,2573,2884,3582,35,4828,"0,00%","192,8","79,3","1006,27"
