timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1549792337823,4071,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792337824,6300,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792338824,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792338824,6300,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792339824,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792339824,6300,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792340825,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792340825,6300,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792341825,249,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792341825,6300,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792342826,4020,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792342826,6303,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792343826,12531,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792343826,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792344827,7133,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792344827,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792345827,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792345827,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792346828,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792346828,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792347828,249,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792347828,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792348828,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792348829,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792349829,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792349829,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792350829,249,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792350830,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792351830,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792351830,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792352830,0,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792352830,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792353831,249,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792353831,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792354831,1500,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792354831,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792355831,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792355832,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792356832,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792356832,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792357832,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792357832,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792358832,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792358832,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792359833,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792359833,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792360833,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792360833,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792361833,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792361833,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792362834,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792362834,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792363834,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792363834,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792364834,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792364835,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792365835,0,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792365835,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792366835,249,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792366835,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792367836,1125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792367836,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792368836,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792368836,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792369836,124,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792369836,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792370837,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792370837,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792371837,124,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792371837,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792372837,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792372837,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792373838,0,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792373838,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792374838,249,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792374838,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792375838,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792375838,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792376839,124,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792376839,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792377839,249,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792377839,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792378839,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792378839,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792379840,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792379840,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792380840,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792380840,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792381840,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792381840,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792382841,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792382841,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792383841,124,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792383841,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792384841,1129,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792384841,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792385842,374,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792385842,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792386842,0,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792386842,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792387842,249,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792387842,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792388843,0,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792388843,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792389843,125,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549792389843,6304,18.191.199.28 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549792390843,124,18.191.199.28 CPU,,,,,true,,0,0,0,0,null,0,0,0
