Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,223136,1063,603,2320,3090,5027,2,67451,"2,50%","572,3","278,1","2552,60"
Total,223136,1063,603,2320,3090,5027,2,67451,"2,50%","572,3","278,1","2552,60"
