Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,3,2,3,3,71,1,94,"0,00%","230,7","87,2","8,51"
Total,2000,3,2,3,3,71,1,94,"0,00%","230,7","87,2","8,51"
