timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1549606427916,22639,3.16.169.46 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549606427917,1668,3.16.169.46 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549606428917,22606,3.16.169.46 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549606428917,2763,3.16.169.46 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549606429917,22594,3.16.169.46 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549606429917,2885,3.16.169.46 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549606430918,22636,3.16.169.46 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549606430918,3007,3.16.169.46 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549606431918,22686,3.16.169.46 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549606431918,3128,3.16.169.46 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549606432928,22729,3.16.169.46 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549606432928,2756,3.16.169.46 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549606433928,22776,3.16.169.46 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549606433928,2515,3.16.169.46 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549606434929,22806,3.16.169.46 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549606434929,3629,3.16.169.46 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549606435929,22811,3.16.169.46 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549606435929,3000,3.16.169.46 CPU,,,,,true,,0,0,0,0,null,0,0,0
