Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,79,32,137,455,816,27,1038,"0,00%","95,6","39,3","156,16"
Total,1000,79,32,137,455,816,27,1038,"0,00%","95,6","39,3","156,16"
