Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,4,3,4,4,97,2,177,"0,00%","272,8","139,6","14,26"
Total,3000,4,3,4,4,97,2,177,"0,00%","272,8","139,6","14,26"
