Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,3,3,3,4,34,2,116,"0,00%","275,0","130,7","8,58"
Total,3000,3,3,3,4,34,2,116,"0,00%","275,0","130,7","8,58"
