timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1549843598762,1001,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549843598762,32578,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549843599763,3136,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549843599763,32578,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549843600763,3995,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549843600763,32578,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549843601763,4114,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549843601763,32578,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549843602764,3759,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549843602764,32578,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549843603764,4119,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549843603764,32578,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549843604764,4125,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549843604764,32578,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549843605765,4005,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549843605765,32578,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549843606765,4010,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549843606765,32578,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549843607765,3875,3.16.22.239 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549843607765,32578,3.16.22.239 Memory,,,,,true,,0,0,0,0,null,0,0,0
