timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1549619942554,61894,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549619942554,375,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549619943554,61894,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549619943554,1250,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549619944554,61894,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549619944554,1375,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549619945555,61894,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549619945555,1378,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549619946555,61894,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549619946555,1498,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549619947555,61894,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549619947555,1618,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549619948555,61894,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549619948556,1378,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549619949556,61894,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549619949556,1250,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549619950556,61894,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549619950556,1127,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549619951556,61894,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549619951556,1251,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549619952557,61894,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549619952557,1126,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
