Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,6,5,6,6,95,4,141,"0,00%","94,9","31,6","13,41"
Total,1000,6,5,6,6,95,4,141,"0,00%","94,9","31,6","13,41"
