Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,1392,1357,2862,3234,3828,92,5298,"0,00%","182,8","75,0","1066,11"
Total,2000,1392,1357,2862,3234,3828,92,5298,"0,00%","182,8","75,0","1066,11"
