timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1549618663065,43549,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549618663065,2385,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549618664065,43549,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549618664065,11910,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549618665065,43549,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549618665065,12079,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549618666066,43549,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549618666066,13258,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549618667066,43547,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549618667066,13916,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549618668066,43560,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549618668066,13308,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549618669066,43560,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549618669066,14601,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549618670067,43560,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549618670067,12995,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549618671067,43557,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549618671067,13382,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549618672067,43558,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549618672067,13823,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
