Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,5,3,5,8,88,2,139,"0,00%","218,0","54,9","12,68"
Total,2000,5,3,5,8,88,2,139,"0,00%","218,0","54,9","12,68"
