Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,4,3,4,6,99,1,148,"0,00%","220,5","55,6","12,34"
Total,2000,4,3,4,6,99,1,148,"0,00%","220,5","55,6","12,34"
