Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,2,1,2,2,78,1,152,"0,00%","270,5","100,1","12,46"
Total,3000,2,1,2,2,78,1,152,"0,00%","270,5","100,1","12,46"
