Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,4,1,2,2,136,1,176,"0,00%","295,2","111,6","18,94"
Total,2000,4,1,2,2,136,1,176,"0,00%","295,2","111,6","18,94"
