Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,1,1,1,2,40,0,93,"0,00%","424,6","160,5","7,98"
Total,3000,1,1,1,2,40,0,93,"0,00%","424,6","160,5","7,98"
