Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,6,4,5,5,92,4,121,"0,00%","155,1","73,9","13,08"
Total,1000,6,4,5,5,92,4,121,"0,00%","155,1","73,9","13,08"
