Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,178007,1198,1020,2364,2827,3823,2,19955,"1,67%","456,6","164,9","989,90"
Total,178007,1198,1020,2364,2827,3823,2,19955,"1,67%","456,6","164,9","989,90"
