Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,3,1,2,2,88,1,122,"0,00%","96,3","39,4","11,86"
Total,1000,3,1,2,2,88,1,122,"0,00%","96,3","39,4","11,86"
