Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,3,2,3,3,91,2,111,"0,00%","95,6","42,6","11,01"
Total,1000,3,2,3,3,91,2,111,"0,00%","95,6","42,6","11,01"
