Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,2,1,2,2,45,0,123,"0,00%","271,7","100,6","9,38"
Total,3000,2,1,2,2,45,0,123,"0,00%","271,7","100,6","9,38"
