Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,142151,738,454,1803,2355,3882,4,8045,"0,00%","1089,4","486,2","820,76"
Total,142151,738,454,1803,2355,3882,4,8045,"0,00%","1089,4","486,2","820,76"
