Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,135807,1911,596,3269,9069,24058,5,92540,"0,00%","982,0","438,3","5149,74"
Total,135807,1911,596,3269,9069,24058,5,92540,"0,00%","982,0","438,3","5149,74"
