Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,1727,1938,3018,3313,3772,85,4541,"0,00%","185,3","76,2","1054,13"
Total,2000,1727,1938,3018,3313,3772,85,4541,"0,00%","185,3","76,2","1054,13"
