Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,13461,13031,23677,24812,26287,576,27447,"0,00%","95,4","39,2","6779,76"
Total,3000,13461,13031,23677,24812,26287,576,27447,"0,00%","95,4","39,2","6779,76"
