Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,14,13,17,23,60,8,126,"0,00%","327,3","124,3","10,15"
Total,3000,14,13,17,23,60,8,126,"0,00%","327,3","124,3","10,15"
