Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,136650,1477,950,2706,3359,6405,2,120382,"2,11%","350,5","190,9","2950,10"
Total,136650,1477,950,2706,3359,6405,2,120382,"2,11%","350,5","190,9","2950,10"
