Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,112628,1065,892,2240,2728,3794,9,6692,"0,00%","856,2","285,0","851,15"
Total,112628,1065,892,2240,2728,3794,9,6692,"0,00%","856,2","285,0","851,15"
