Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,112907,940,738,2065,2500,3503,6,7283,"0,00%","859,9","286,2","798,23"
Total,112907,940,738,2065,2500,3503,6,7283,"0,00%","859,9","286,2","798,23"
