Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,7,6,6,6,109,5,120,"0,00%","96,4","45,9","12,92"
Total,1000,7,6,6,6,109,5,120,"0,00%","96,4","45,9","12,92"
