Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,16,6,6,19,310,5,1005,"0,00%","185,8","88,6","69,19"
Total,2000,16,6,6,19,310,5,1005,"0,00%","185,8","88,6","69,19"
