Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,6,4,5,6,80,3,150,"0,00%","118,5","45,0","14,09"
Total,1000,6,4,5,6,80,3,150,"0,00%","118,5","45,0","14,09"
