Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,3,1,2,2,96,1,126,"0,00%","118,8","48,6","13,30"
Total,1000,3,1,2,2,96,1,126,"0,00%","118,8","48,6","13,30"
