Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,1,1,1,1,38,0,108,"0,00%","333,2","136,3","8,14"
Total,3000,1,1,1,1,38,0,108,"0,00%","333,2","136,3","8,14"
