Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,4,2,3,4,140,2,182,"0,00%","401,3","95,6","17,83"
Total,3000,4,2,3,4,140,2,182,"0,00%","401,3","95,6","17,83"
