Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,6,5,6,7,113,3,144,"0,00%","405,8","135,1","12,83"
Total,3000,6,5,6,7,113,3,144,"0,00%","405,8","135,1","12,83"
