Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,22,4,25,166,380,2,392,"0,00%","278,0","70,1","65,96"
Total,2000,22,4,25,166,380,2,392,"0,00%","278,0","70,1","65,96"
