Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,4,3,6,9,111,1,136,"0,00%","401,6","101,2","13,84"
Total,3000,4,3,6,9,111,1,136,"0,00%","401,6","101,2","13,84"
