Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,2,2,3,3,7,2,122,"0,00%","266,2","63,4","7,46"
Total,3000,2,2,3,3,7,2,122,"0,00%","266,2","63,4","7,46"
