Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,6,5,6,7,91,4,140,"0,00%","187,2","96,0","12,89"
Total,2000,6,5,6,7,91,4,140,"0,00%","187,2","96,0","12,89"
